Case,CommCase,Platform,Publisher,VidTitle,CommentText,Likes,CharacterNum,CommLength,Sentiment,Focus,Alignment,MediaType
8.0,1055,Instagram Reels,Washington Post,It's better for your health to stop wasting food,Send food and aid to Gaza..civilians are suffering!,1.0,51.0,3,1.0,0.0,,SMonly
8.0,1056,Instagram Reels,Washington Post,It's better for your health to stop wasting food,"While we make plans for thanksgiving here in America, palestinian children are crying from hunger. Take a look at this account: @follower_islam",2.0,143.0,1,2.0,0.0,,SMonly
8.0,1057,Instagram Reels,Washington Post,It's better for your health to stop wasting food,😢.,0.0,3.0,2,2.0,0.0,,SMonly
8.0,1058,Instagram Reels,Washington Post,It's better for your health to stop wasting food,The eating season? 🙄 can we stop calling everything a season now?,2.0,66.0,3,2.0,1.0,2.0,SMonly
8.0,1059,Instagram Reels,Washington Post,It's better for your health to stop wasting food,There is a massacre in Palestine *sad face with tear*,1.0,53.0,3,2.0,0.0,,SMonly
8.0,1060,Instagram Reels,Washington Post,It's better for your health to stop wasting food,😢.,0.0,3.0,2,2.0,0.0,,SMonly
9.0,1061,Instagram Reels,Washington Post,Biden's collabing with influencers,Love this president he’s doing a great job 🇺🇸 <3,42.0,50.0,3,5.0,1.0,5.0,SMonly
9.0,1062,Instagram Reels,Washington Post,Biden's collabing with influencers,"For those of you using this comment section to try and give us a false narrative on President Biden. I would truly like to ask… “could you handle the presidency?” Oh wait. I already know they answer. This man is fit for his role, earned his place and is doing good fkng job.",55.0,274.0,1,4.0,0.0,,SMonly
9.0,1063,Instagram Reels,Washington Post,Biden's collabing with influencers,Ayo 😅 That’s pretty dope 💯,3.0,28.0,2,4.0,1.0,4.0,SMonly
9.0,1064,Instagram Reels,Washington Post,Biden's collabing with influencers,Yeah that’s so cook how he can make TikToks and still lose the Gen Z vote with a genocide,336.0,89.0,3,2.0,1.0,2.0,SMonly
9.0,1065,Instagram Reels,Washington Post,Biden's collabing with influencers,“What do you do for a living?”- my son makes sure there’s some set aside for the big guy,7.0,88.0,3,3.0,0.0,,SMonly
9.0,1066,Instagram Reels,Washington Post,Biden's collabing with influencers,"yeah good luck , social media is already doing their job to show that Biden is actually a bad president. many of us are already financially struggling , Maui’s suffering, gas prices soared , everything’s is expensive because of his abuse of funding to wars & genocides & now we’re back to the Middle East after he ended the war in Afghanistan , leaving trillions of dollars of military equipment abandoned & scavenged WITH OUR TAX MONEY. social media has helped educate us about today & our currently living problems here him trying to get involved with social media is just gonna make him look like even more of a joke than he already is",72.0,638.0,1,1.0,1.0,3.0,SMonly
9.0,1067,Instagram Reels,Washington Post,Biden's collabing with influencers,"Gosh he seems to be a lot more open to questions compared to trumpty. Set standards and have both parties follow. If you’re only holding one person to standards, it’s not a fair comparison",10.0,188.0,1,4.0,1.0,3.0,SMonly
9.0,1068,Instagram Reels,Washington Post,Biden's collabing with influencers,"I think his team is right. People don’t sit and listen to press conferences. Short sound bytes are more effective, especially with anyone under 45",59.0,146.0,1,4.0,1.0,4.0,SMonly
9.0,1069,Instagram Reels,Washington Post,Biden's collabing with influencers,The White House is now run by media savvy people who know what they're doing and who want that Gen Z vote.,15.0,106.0,3,3.0,0.0,,SMonly
9.0,1070,Instagram Reels,Washington Post,Biden's collabing with influencers,I think it’s a great strategy. They’re doing both. This reporting is misleading.,9.0,80.0,3,4.0,1.0,1.0,SMonly
10.0,1071,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,"It took 75 years for the IDF, CNN, BBC and the Western media to create the narrative that every resistance organization that opposes the interests of the West and the US is a terrorist.
It took the IDF, CNN, BBC and the Western media 40 days to prove who the real terrorist was.",4.0,278.0,1,2.0,0.0,,SMonly
10.0,1072,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,https://comedonchisciotte.org/la-direttiva-hannibal-israele-assassina-i-suoi-soldati-per-impedirne-la-cattura/,0.0,110.0,3,,0.0,,SMonly
10.0,1073,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱❤️❤️❤️❤️,0.0,28.0,2,3.0,0.0,,SMonly
10.0,1074,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,Yes hamas use ambulance for terror,0.0,34.0,2,2.0,1.0,3.0,SMonly
10.0,1075,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,"Angelo Treadwell was convicted with zero physical evidence. Prosecutors used a video of suspects running which would be impossible for Angelo as he is paralyzed on his left side. Please read sign and share Angelo's petition to show your support. Link In Bio/ comments #FreedomForAngeloTreadwell
https://chng.it/XS9hjLdvCs",0.0,321.0,1,,0.0,,SMonly
10.0,1076,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,Follow me to discuss the important issues of Iran and the Middle East,0.0,69.0,3,3.0,0.0,,SMonly
10.0,1077,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,Death to Israel,7.0,15.0,2,1.0,0.0,,SMonly
10.0,1078,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,#standwithisrael #standwithukraine,2.0,34.0,2,2.0,0.0,,SMonly
10.0,1079,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,#freepalestine,13.0,14.0,2,2.0,0.0,,SMonly
10.0,1080,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,"Not the first, won't be the last terrorist act Israel committing against civilians, sham on u, USA , Europe, UN , western media, u r part of this ginosid,😡",14.0,156.0,1,1.0,1.0,3.0,SMonly
11.0,1081,Instagram Reels,Washington Post,Think cats are aloof?,Mine i bet has 600 ❤️,1.0,21.0,2,5.0,1.0,4.0,SMonly
11.0,1082,Instagram Reels,Washington Post,Think cats are aloof?,Yeah duh,0.0,8.0,2,4.0,1.0,4.0,SMonly
11.0,1083,Instagram Reels,Washington Post,Think cats are aloof?,Cats are stupid. Dogs make up for all cats' failures.,0.0,53.0,3,2.0,0.0,,SMonly
11.0,1084,Instagram Reels,Washington Post,Think cats are aloof?,Didn’t need research to know this. Cats have personalities too!,1.0,63.0,3,3.0,1.0,4.0,SMonly
11.0,1085,Instagram Reels,Washington Post,Think cats are aloof?,Glad for the proof! But also as a cat parent.... duh. Mine are  more expressive than I sometimes wish they were XD,1.0,114.0,3,4.0,1.0,5.0,SMonly
11.0,1086,Instagram Reels,Washington Post,Think cats are aloof?,<3,1.0,2.0,2,,0.0,,SMonly
11.0,1087,Instagram Reels,Washington Post,Think cats are aloof?,Oh...,0.0,5.0,2,3.0,0.0,,SMonly
11.0,1088,Instagram Reels,Washington Post,Think cats are aloof?,"Okay, but we can say the same about dogs lol",0.0,44.0,3,3.0,0.0,,SMonly
11.0,1089,Instagram Reels,Washington Post,Think cats are aloof?,Yes!,1.0,4.0,2,4.0,1.0,4.0,SMonly
11.0,1090,Instagram Reels,Washington Post,Think cats are aloof?,You needed a study to figure that out *crying laughing face*,4.0,60.0,3,3.0,1.0,3.0,SMonly
12.0,1091,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",High heels. On. My. Tippies. 👠👁️👄👁️,313.0,39.0,2,3.0,1.0,3.0,SMonly
12.0,1092,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",🤡🤡🤡🤡,68.0,8.0,2,,0.0,,SMonly
12.0,1093,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",Ummmm 🗑️🚮🦝,49.0,13.0,2,2.0,0.0,,SMonly
12.0,1094,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",These people arent even talking about stuff americans care about,404.0,64.0,3,2.0,1.0,2.0,SMonly
12.0,1095,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",Desantis is so trash bro,6.0,24.0,2,2.0,0.0,,SMonly
12.0,1096,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",Vivek is right👏,20.0,16.0,2,4.0,1.0,4.0,SMonly
12.0,1097,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",Send in the clowns...,32.0,21.0,2,2.0,0.0,,SMonly
12.0,1098,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",Haley replied as she was wearing 5” heels. I really don’t care to whom Vivek was directing his nasty comment as he has no real platform.,78.0,136.0,1,2.0,1.0,3.0,SMonly
12.0,1099,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""","(GIF) moving picture of a monkey looking around confused with the caption, ""IDIOTS EVERYWHERE!""",55.0,95.0,3,2.0,0.0,,SMonly
12.0,1100,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""","Just more of the same crap with different faces. Nothing new, nothing honorable, nothing but insults, useless rhetoric and the reasons why our government has lost our country on the world stage .",76.0,195.0,1,1.0,0.0,,SMonly
13.0,1101,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,I’m sure @airfrance can speak to this 😡 #lostluggage #badcustomerservice,1.0,73.0,3,2.0,0.0,,SMonly
13.0,1102,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,"I checked this before and It does not worth it, too expensive !",4.0,63.0,3,2.0,1.0,2.0,SMonly
13.0,1103,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,Wtf the owner of hoggle is obvs gonna notice y’all have him!,8.0,60.0,3,3.0,0.0,,SMonly
13.0,1104,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,"So that’s where my ""unclaimed"" AirPod went",2.0,42.0,3,2.0,1.0,3.0,SMonly
13.0,1105,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,They're not cheap even back 15 years ago when I visited it was expensive,1.0,72.0,3,3.0,1.0,3.0,SMonly
13.0,1106,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,@ajrayfeh I think we need to go here just in case there’s a causal shipping container full of all your belongings.,0.0,114.0,3,3.0,0.0,,SMonly
13.0,1107,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,I think that was my camera,1.0,26.0,2,3.0,0.0,,SMonly
13.0,1108,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,And how much of it was “lost and found” that was never returned? This is absurd.,6.0,80.0,3,1.0,1.0,1.0,SMonly
13.0,1109,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,WAY TOO expensive for resale.,2.0,29.0,2,2.0,1.0,2.0,SMonly
13.0,1110,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,Legalized theft.,16.0,16.0,2,1.0,1.0,2.0,SMonly
14.0,1111,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,Very Scary 😧 .,1.0,15.0,2,2.0,1.0,4.0,SMonly
14.0,1112,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,It does not take AI to generate this audio 🤦🏾‍♂️,0.0,50.0,3,3.0,1.0,2.0,SMonly
14.0,1113,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,Good luck finding responsible media companies. 🤨 .,1.0,51.0,3,2.0,0.0,,SMonly
14.0,1114,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,Easily. The mouth is always tweaked out,1.0,39.0,2,3.0,1.0,2.0,SMonly
14.0,1115,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,"Great Post, Post! So glad there are still real reporters and writers in the news business!",0.0,90.0,3,5.0,1.0,5.0,SMonly
14.0,1116,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,Just wait until a “phone recording” is used in court and wins over real life.,1.0,77.0,3,2.0,0.0,,SMonly
14.0,1117,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,"i think that if they are dead, it’s a good hint",0.0,47.0,3,3.0,0.0,,SMonly
14.0,1118,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,So easy to spread lies! And so many viewers will believe whatever they see on social media! 😮😮😮,1.0,98.0,3,2.0,1.0,4.0,SMonly
14.0,1119,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,"Dude, if it’s in the sense of using AI videos and voices for duping the public and endangering the government and society, I absolutely agree, but I think this technology should be left alone in the context of creativity and performance, like using the voices of celebrities, politicians, royals, etc as a joke in a YouTube shorts reel or something like that.",2.0,359.0,1,3.0,1.0,3.0,SMonly
14.0,1120,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,Can we implement the no Fake Act for people too 😂,0.0,50.0,3,4.0,0.0,,SMonly
15.0,1121,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",sadly it's a mathematical fact 3rd party aren't a option as our system stands today....,54.0,87.0,3,3.0,1.0,2.0,SMonly
15.0,1122,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",I also thought some poll data showed Kennedy pulls Quaon types from Trump.,18.0,74.0,3,3.0,0.0,,SMonly
15.0,1123,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",How would a third-party candidate factor into our electoral process?,3.0,68.0,3,3.0,1.0,3.0,SMonly
15.0,1124,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",Sweet Lord,2.0,10.0,2,3.0,0.0,,SMonly
15.0,1125,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",Do you think Cornell West has any chance of making the ballot?,0.0,62.0,3,3.0,1.0,4.0,SMonly
15.0,1126,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",Why does the first one look like @The Weeknd,2.0,44.0,3,3.0,0.0,,SMonly
15.0,1127,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",Because there are no good options,7.0,33.0,2,3.0,1.0,2.0,SMonly
15.0,1128,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",Early,283.0,5.0,2,,,,SMonly
15.0,1129,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",Ranked choice voting would crack two party system.,14.0,50.0,3,3.0,1.0,3.0,SMonly
15.0,1130,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",doesn't matter how good those numbers are unfortunately this country is a two party system if we had ranked voting things would change,6.0,134.0,1,2.0,1.0,3.0,SMonly
16.0,1131,TikTok,Washington Post,The Food and Drug Administration has issued warnings,Why is America like that? *crying face*,193.0,39.0,2,2.0,0.0,,SMonly
