Case,CommCase,Platform,Publisher,VidTitle,Comment,Likes/Hearts,CharacterNum,CommLength,Sentiment,Focus,Alignment
4,1029,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,Ridiculous we would be all ready in prison hurry up,2,51,3,2,1,2
5,1030,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,I heard that the State of Colorado also voted to legalize recreational marijuana because they forgot they already had or something about like that,3,146,1,3,0,
5,1031,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,Republicans are trying to dismiss the vote in ohio .. truly saying it doesnt matter what Ohioans want,2,101,3,3,1,4
5,1032,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,"THANK YOU, Ohio! Finally the tide is beginning to turn.",12,55,3,4,1,4
5,1033,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,Republicans will argue something like “but the Bible says…”,12,59,3,2,1,4
5,1034,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,Ohio also voted for Rec Marijuana <3,10,36,2,4,0,
5,1035,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,"I’ve read the bill of rights many times, nowhere in there does it say you have a right to an abortion. It does say life liberty, and the pursuit of happiness.",2,158,1,3,1,2
5,1036,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,What about the men that get these women pregnant? Nobody points to them and blame them for their partner getting pregnant. Why is it that the woman is the only one getting threatened with jail time? Men should be lumped right there next to their partner who is being threatened with incarceration.,0,297,1,2,1,4
5,1037,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,"This really should not be a left versus right issue besides the statistics that our native-born population is dwindling just like every Western country and in order to support economic growth we have to import foreigners as replacements just seems absurd... Leaving that aside it just seems strange to me that a potential mother would want to do away with her only reason for existing. I am personally understanding of rape, incest but in probably 99% of cases we all know the potential consequences of sex and using abortion as a form of birth control seems to be literally self destructive and selfish.",0,604,1,3,1,2
5,1038,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,And the republicans there are already looking to block this,1,59,3,2,1,3
5,1039,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,Where did women get the idea that it was their body? It’s another human being growing inside you. Start having respect for human life.,4,134,1,1,1,1
6,1040,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,Bless her for her courage to face the certain hatred of the corrupt and evil men and women who run this country.,8,112,3,4,1,4
6,1041,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,"**The problem is that everyone knows what Hamas did on Oct 7th, but a lot of people don't know what Israel's been doing for the past 75 years. They don't want to know it, and many people in power don't want them to know it either. And it's the biggest part of the whole picture. One can't understand what's going on without it",17,326,1,3,1,4
6,1042,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,So proud 👏I voted 🗳for her and will continue to. I live in Dearborn Heights Mi and met her before. She's incredible,2,117,3,5,1,5
6,1043,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,"Yes, she is right on point. Enough is enough. I took political science & history courses in college on this part of the world. The WOMEN, MOTHERS need to unite and stop the men from reacting to force with more force!! Stop terrorists and all war mongers!",32,254,1,4,1,4
6,1044,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,Stand for Israel,2,16,2,3,0,
6,1045,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,Stand with Palestine!,16,21,2,3,0,
6,1046,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,"She is absolutely right. Benny is doing all the things Biden warned him not to do, making the same mistakes we did. We will have to live with all our history of wrong doings.",16,174,1,4,1,4
6,1047,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,Memorable,1,9,2,3,1,3
6,1048,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,Thank you for standing up for beautiful Muslim brothers and sisters and children when no arab country would stand,0,113,3,5,1,5
6,1049,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,Freedom of speech!! She's right to talk about the Palistinian people. Obviously a lot of people can't distinguish Hamas from the Palistinian people. Zionists and Hezbollah and Zionists are all the same. Palestinians and the Israeli children are the same🙏,8,255,1,4,1,5
7,1050,YouTube Shorts,Washington Post,"Hazardous air quality chokes India, Pakistan - YouTube",Dayyum,0,6,2,3,0,
8,1051,Instagram Reels,Washington Post,It's better for your health to stop wasting food,"No, soon you and all the low-class democrats will be preaching that America sucks and Thanksgiving is racist.",0,109,3,1,0,
8,1052,Instagram Reels,Washington Post,It's better for your health to stop wasting food,I use my freezer and buy produce in small amounts frequently. Why waste $?,0,74,3,4,1,4
8,1053,Instagram Reels,Washington Post,It's better for your health to stop wasting food,"Yeah, I agree. I work at elementary schools and kids don't like eating their fruits or vegetables. That gets tossed in the trash first....but they do love their sugary snacks....unhealthy and very accessible choices. Cafeteria food is also not welcomed and it's a pity because all of that is taken for granted.",1,310,1,4,1,5
8,1054,Instagram Reels,Washington Post,It's better for your health to stop wasting food,"Ok so the consumer is not the issue, like most things. Corporations should be held to higher standards.",5,103,3,2,1,2
8,1055,Instagram Reels,Washington Post,It's better for your health to stop wasting food,Send food and aid to Gaza..civilians are suffering!,1,51,3,1,0,
8,1056,Instagram Reels,Washington Post,It's better for your health to stop wasting food,"While we make plans for thanksgiving here in America, palestinian children are crying from hunger. Take a look at this account: @follower_islam",2,143,1,2,0,
8,1057,Instagram Reels,Washington Post,It's better for your health to stop wasting food,😢.,0,3,2,2,0,
8,1058,Instagram Reels,Washington Post,It's better for your health to stop wasting food,The eating season? 🙄 can we stop calling everything a season now?,2,66,3,2,1,2
8,1059,Instagram Reels,Washington Post,It's better for your health to stop wasting food,There is a massacre in Palestine *sad face with tear*,1,53,3,2,0,
8,1060,Instagram Reels,Washington Post,It's better for your health to stop wasting food,😢.,0,3,2,2,0,
9,1061,Instagram Reels,Washington Post,Biden's collabing with influencers,Love this president he’s doing a great job 🇺🇸 <3,42,50,3,5,1,5
9,1062,Instagram Reels,Washington Post,Biden's collabing with influencers,"For those of you using this comment section to try and give us a false narrative on President Biden. I would truly like to ask… “could you handle the presidency?” Oh wait. I already know they answer. This man is fit for his role, earned his place and is doing good fkng job.",55,274,1,4,0,
9,1063,Instagram Reels,Washington Post,Biden's collabing with influencers,Ayo 😅 That’s pretty dope 💯,3,28,2,4,1,4
9,1064,Instagram Reels,Washington Post,Biden's collabing with influencers,Yeah that’s so cook how he can make TikToks and still lose the Gen Z vote with a genocide,336,89,3,2,1,2
9,1065,Instagram Reels,Washington Post,Biden's collabing with influencers,“What do you do for a living?”- my son makes sure there’s some set aside for the big guy,7,88,3,3,0,
9,1066,Instagram Reels,Washington Post,Biden's collabing with influencers,"yeah good luck , social media is already doing their job to show that Biden is actually a bad president. many of us are already financially struggling , Maui’s suffering, gas prices soared , everything’s is expensive because of his abuse of funding to wars & genocides & now we’re back to the Middle East after he ended the war in Afghanistan , leaving trillions of dollars of military equipment abandoned & scavenged WITH OUR TAX MONEY. social media has helped educate us about today & our currently living problems here him trying to get involved with social media is just gonna make him look like even more of a joke than he already is",72,638,1,1,1,3
9,1067,Instagram Reels,Washington Post,Biden's collabing with influencers,"Gosh he seems to be a lot more open to questions compared to trumpty. Set standards and have both parties follow. If you’re only holding one person to standards, it’s not a fair comparison",10,188,1,4,1,3
9,1068,Instagram Reels,Washington Post,Biden's collabing with influencers,"I think his team is right. People don’t sit and listen to press conferences. Short sound bytes are more effective, especially with anyone under 45",59,146,1,4,1,4
9,1069,Instagram Reels,Washington Post,Biden's collabing with influencers,The White House is now run by media savvy people who know what they're doing and who want that Gen Z vote.,15,106,3,3,0,
9,1070,Instagram Reels,Washington Post,Biden's collabing with influencers,I think it’s a great strategy. They’re doing both. This reporting is misleading.,9,80,3,4,1,1
10,1071,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,"It took 75 years for the IDF, CNN, BBC and the Western media to create the narrative that every resistance organization that opposes the interests of the West and the US is a terrorist.
It took the IDF, CNN, BBC and the Western media 40 days to prove who the real terrorist was.",4,278,1,2,0,
10,1072,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,https://comedonchisciotte.org/la-direttiva-hannibal-israele-assassina-i-suoi-soldati-per-impedirne-la-cattura/,0,110,3,99,0,
10,1073,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱❤️❤️❤️❤️,0,28,2,3,0,
10,1074,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,Yes hamas use ambulance for terror,0,34,2,2,1,3
10,1075,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,"Angelo Treadwell was convicted with zero physical evidence. Prosecutors used a video of suspects running which would be impossible for Angelo as he is paralyzed on his left side. Please read sign and share Angelo's petition to show your support. Link In Bio/ comments #FreedomForAngeloTreadwell
https://chng.it/XS9hjLdvCs",0,321,1,99,0,
10,1076,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,Follow me to discuss the important issues of Iran and the Middle East,0,69,3,3,0,
10,1077,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,Death to Israel,7,15,2,1,0,
10,1078,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,#standwithisrael #standwithukraine,2,34,2,2,0,
10,1079,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,#freepalestine,13,14,2,2,0,
10,1080,Instagram Reels,Washington Post,Israel strikes ambulance near Gaza City hospital,"Not the first, won't be the last terrorist act Israel committing against civilians, sham on u, USA , Europe, UN , western media, u r part of this ginosid,😡",14,156,1,1,1,3
11,1081,Instagram Reels,Washington Post,Think cats are aloof?,Mine i bet has 600 ❤️,1,21,2,5,1,4
11,1082,Instagram Reels,Washington Post,Think cats are aloof?,Yeah duh,0,8,2,4,1,4
11,1083,Instagram Reels,Washington Post,Think cats are aloof?,Cats are stupid. Dogs make up for all cats' failures.,0,53,3,2,0,
11,1084,Instagram Reels,Washington Post,Think cats are aloof?,Didn’t need research to know this. Cats have personalities too!,1,63,3,3,1,4
11,1085,Instagram Reels,Washington Post,Think cats are aloof?,Glad for the proof! But also as a cat parent.... duh. Mine are  more expressive than I sometimes wish they were XD,1,114,3,4,1,5
11,1086,Instagram Reels,Washington Post,Think cats are aloof?,<3,1,2,2,99,0,
11,1087,Instagram Reels,Washington Post,Think cats are aloof?,Oh...,0,5,2,3,0,
11,1088,Instagram Reels,Washington Post,Think cats are aloof?,"Okay, but we can say the same about dogs lol",0,44,3,3,0,
11,1089,Instagram Reels,Washington Post,Think cats are aloof?,Yes!,1,4,2,4,1,4
11,1090,Instagram Reels,Washington Post,Think cats are aloof?,You needed a study to figure that out *crying laughing face*,4,60,3,3,1,3
12,1091,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",High heels. On. My. Tippies. 👠👁️👄👁️,313,39,2,3,1,3
12,1092,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",🤡🤡🤡🤡,68,8,2,99,0,
12,1093,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",Ummmm 🗑️🚮🦝,49,13,2,2,0,
12,1094,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",These people arent even talking about stuff americans care about,404,64,3,2,1,2
12,1095,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",Desantis is so trash bro,6,24,2,2,0,
12,1096,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",Vivek is right👏,20,16,2,4,1,4
12,1097,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",Send in the clowns...,32,21,2,2,0,
12,1098,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",Haley replied as she was wearing 5” heels. I really don’t care to whom Vivek was directing his nasty comment as he has no real platform.,78,136,1,2,1,3
12,1099,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""","(GIF) moving picture of a monkey looking around confused with the caption, ""IDIOTS EVERYWHERE!""",55,95,3,2,0,
12,1100,Instagram Reels,Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""","Just more of the same crap with different faces. Nothing new, nothing honorable, nothing but insults, useless rhetoric and the reasons why our government has lost our country on the world stage .",76,195,1,1,0,
13,1101,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,I’m sure @airfrance can speak to this 😡 #lostluggage #badcustomerservice,1,73,3,2,0,
13,1102,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,"I checked this before and It does not worth it, too expensive !",4,63,3,2,1,2
13,1103,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,Wtf the owner of hoggle is obvs gonna notice y’all have him!,8,60,3,3,0,
13,1104,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,"So that’s where my ""unclaimed"" AirPod went",2,42,3,2,1,3
13,1105,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,They're not cheap even back 15 years ago when I visited it was expensive,1,72,3,3,1,3
13,1106,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,@ajrayfeh I think we need to go here just in case there’s a causal shipping container full of all your belongings.,0,114,3,3,0,
13,1107,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,I think that was my camera,1,26,2,3,0,
13,1108,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,And how much of it was “lost and found” that was never returned? This is absurd.,6,80,3,1,1,1
13,1109,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,WAY TOO expensive for resale.,2,29,2,2,1,2
13,1110,Instagram Reels,Washington Post,The best place to shop? Other people's lost luggage.,Legalized theft.,16,16,2,1,1,2
14,1111,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,Very Scary 😧 .,1,15,2,2,1,4
14,1112,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,It does not take AI to generate this audio 🤦🏾‍♂️,0,50,3,3,1,2
14,1113,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,Good luck finding responsible media companies. 🤨 .,1,51,3,2,0,
14,1114,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,Easily. The mouth is always tweaked out,1,39,2,3,1,2
14,1115,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,"Great Post, Post! So glad there are still real reporters and writers in the news business!",0,90,3,5,1,5
14,1116,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,Just wait until a “phone recording” is used in court and wins over real life.,1,77,3,2,0,
14,1117,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,"i think that if they are dead, it’s a good hint",0,47,3,3,0,
14,1118,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,So easy to spread lies! And so many viewers will believe whatever they see on social media! 😮😮😮,1,98,3,2,1,4
14,1119,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,"Dude, if it’s in the sense of using AI videos and voices for duping the public and endangering the government and society, I absolutely agree, but I think this technology should be left alone in the context of creativity and performance, like using the voices of celebrities, politicians, royals, etc as a joke in a YouTube shorts reel or something like that.",2,359,1,3,1,3
14,1120,Instagram Reels,Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,Can we implement the no Fake Act for people too 😂,0,50,3,4,0,
15,1121,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",sadly it's a mathematical fact 3rd party aren't a option as our system stands today....,54,87,3,3,1,2
15,1122,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",I also thought some poll data showed Kennedy pulls Quaon types from Trump.,18,74,3,3,0,
15,1123,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",How would a third-party candidate factor into our electoral process?,3,68,3,3,1,3
15,1124,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",Sweet Lord,2,10,2,3,0,
15,1125,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",Do you think Cornell West has any chance of making the ballot?,0,62,3,3,1,4
15,1126,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",Why does the first one look like @The Weeknd,2,44,3,3,0,
15,1127,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",Because there are no good options,7,33,2,3,1,2
15,1128,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",Early,283,5,2,99,,
15,1129,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",Ranked choice voting would crack two party system.,14,50,3,3,1,3
15,1130,TikTok,Washington Post,"""Third-party candidates see some of their best polls since Ross Perot""",doesn't matter how good those numbers are unfortunately this country is a two party system if we had ranked voting things would change,6,134,1,2,1,3
16,1131,TikTok,Washington Post,The Food and Drug Administration has issued warnings,Why is America like that? *crying face*,193,39,2,2,0,
16,1132,TikTok,Washington Post,The Food and Drug Administration has issued warnings,@Dr. Glaucomflecken do these new eyedrop recommendations track with your advice?,44,80,3,3,0,
16,1133,TikTok,Washington Post,The Food and Drug Administration has issued warnings,love the loop!,24,14,2,4,0,
16,1134,TikTok,Washington Post,The Food and Drug Administration has issued warnings,From how far back? Jun 2022 I went to ER over eye drops.,15,56,3,3,1,4
16,1135,TikTok,Washington Post,The Food and Drug Administration has issued warnings,That’s why I prefer European Union made eyedrops,60,48,3,3,0,
16,1136,TikTok,Washington Post,The Food and Drug Administration has issued warnings,So safe but not safe 😐?,0,24,2,2,1,3
16,1137,TikTok,Washington Post,The Food and Drug Administration has issued warnings,This is so scary as I have an eye condition that requires eye drops and eye ointment.,1,85,3,1,1,3
16,1138,TikTok,Washington Post,The Food and Drug Administration has issued warnings,"If I use name brand eye drops like B&L, would that be safe? *shocked face*",1,74,3,3,1,3
16,1139,TikTok,Washington Post,The Food and Drug Administration has issued warnings,lovely,0,6,2,3,0,
16,1140,TikTok,Washington Post,The Food and Drug Administration has issued warnings,Are the majority of eye drops produced by the same company? Another reason for more competition vs monopoly.,4,108,3,2,1,4
17,1141,TikTok,Washington Post,Reminder to set your clocks back an hour this weekend,I was so hoping for permanent Daylight Saving. feeling crushed.,523,63,3,2,1,4
17,1142,TikTok,Washington Post,Reminder to set your clocks back an hour this weekend,Daylight savings time is ENDING. We are returning to what it should be this weekend.,71,84,3,3,1,2
17,1143,TikTok,Washington Post,Reminder to set your clocks back an hour this weekend,"Awwww. I thought it got passed, too. *crying face*",232,50,3,2,1,3
17,1144,TikTok,Washington Post,Reminder to set your clocks back an hour this weekend,We should get rid of the time switch. But KEEP STANDARD TIME.,140,61,3,3,1,4
17,1145,TikTok,Washington Post,Reminder to set your clocks back an hour this weekend,"If we can leave it STANDARD time, we are good. There's a reason it's standard!",66,78,3,3,1,4
17,1146,TikTok,Washington Post,Reminder to set your clocks back an hour this weekend,Standard time firmly sets all the daylight hours when I’m working. No daylight to enjoy for anyone with a day job. *crying face*,36,128,1,2,1,3
17,1147,TikTok,Washington Post,Reminder to set your clocks back an hour this weekend,I thought it was going away too 😭 come on House!,68,49,3,2,1,4
17,1148,TikTok,Washington Post,Reminder to set your clocks back an hour this weekend,NO CARMELLA THIS IS THE WORST NEWS I FORGOT THIS WAS COMING,26,59,3,1,1,4
17,1149,TikTok,Washington Post,Reminder to set your clocks back an hour this weekend,Darkness and night FOREVER 🌚 .,41,31,2,2,0,
17,1150,TikTok,Washington Post,Reminder to set your clocks back an hour this weekend,Daylight savings BEGINS in March and ENDS Sunday!,30,49,3,3,1,3
18,1151,TikTok,Washington Post,"A store manager in Fort Myers, Florida…","Storage unit with weird things and a skull, yet she didn’t contact the cops?",1090,76,3,2,1,2
18,1152,TikTok,Washington Post,"A store manager in Fort Myers, Florida…","honestly, I relate so much to the ""I put such a high price on it I figured no one would buy it""",409,95,3,5,1,4
18,1153,TikTok,Washington Post,"A store manager in Fort Myers, Florida…",What in the Florida?!,9,21,2,3,1,3
18,1154,TikTok,Washington Post,"A store manager in Fort Myers, Florida…",Why is it always my hometown 😅,7,31,2,4,1,3
18,1155,TikTok,Washington Post,"A store manager in Fort Myers, Florida…",Yikes 😳 .,35,10,2,2,1,3
18,1156,TikTok,Washington Post,"A store manager in Fort Myers, Florida…",Is that the song from Plants v Zombies?,0,39,2,3,0,
18,1157,TikTok,Washington Post,"A store manager in Fort Myers, Florida…",@Lexie this happened in ft myers lol,1,36,2,4,1,3
18,1158,TikTok,Washington Post,"A store manager in Fort Myers, Florida…",I didn’t realize this was in Fort Myers 😅😬 ,1,45,3,3,1,3
18,1159,TikTok,Washington Post,"A store manager in Fort Myers, Florida…",Oh my god this was my home town??? 😳,4,37,2,3,1,3
18,1160,TikTok,Washington Post,"A store manager in Fort Myers, Florida…",Yeah that tracks for this area,30,30,2,4,1,4
19,1161,TikTok,Washington Post,Tuesday was Election Day 2023…,Love you guys doing these quick recaps of the days news. 🥰🥰😁,87,63,3,5,0,
19,1162,TikTok,Washington Post,Tuesday was Election Day 2023…,Unfortunately this is me to all of my friends 😅😂,45,50,3,3,0,
