Case,Platform,Publisher,VideoURL,PubDate,Likes,Comments,Saves,Shots,Graphics,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,Animation,Filters,EditStyle
22,YouTube Shorts,NPR,The Belfast peace walls are not coming down anytime soon. - YouTube,8/30/23,155,3,,steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),lacks (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,4.0,4.0,5.0,Entertainment/Pop Culture (Topic),2.0,0.0,Hybrid,0,0,clean
23,YouTube Shorts,NPR,McConnell freezes at Kentucky press conference - YouTube,8/31/23,306,131,,steady (Shots),none (Graphics),1.0 (EditsStyle),no (Broll),no (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),2.0,3.0,3.0,5.0,4.0,Political (Topic),2.0,1.0,Hybrid,0,0,clean
24,YouTube Shorts,NPR,A world record volleyball match - YouTube,9/1/23,136,6,,steady (Shots),none (Graphics),0.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),5.0,1.0,5.0,-93.0,-93.0,Entertainment/Pop Culture (Topic),3.0,1.0,Hybrid,0,0,not clean
25,YouTube Shorts,NPR,"Torrential rains flood Greece, Turkey, Bulgaria - YouTube",9/6/23,63,2,,steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),poor (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,4.0,-93.0,-93.0,Environmental/Health (Topic),3.0,1.0,Hybrid,0,0,clean
26,YouTube Shorts,NPR,Technicians demonstrate a Soviet-era reactor - YouTube,9/6/23,146,5,,steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),lacks (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),3.0,3.0,3.0,4.0,5.0,Political (Topic),2.0,0.0,Hybrid,0,0,clean
27,YouTube Shorts,NPR,"Convicted murderer ""crab walks"" out of Pennsylvania prison yard - YouTube",9/7/23,145,16,,steady (Shots),none (Graphics),0.0 (EditsStyle),no (Broll),no (NatSound),poor (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),2.0,1.0,3.0,-93.0,-93.0,Disaster/Accident (Topic),3.0,1.0,Hybrid,0,0,not clean
28,YouTube Shorts,NPR,Ailing explorer trapped in Turkish cave - YouTube,9/8/23,76,3,,not steady (Shots),none (Graphics),0.0 (EditsStyle),yes (Broll),yes (NatSound),poor (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),3.0,3.0,3.0,-93.0,4.0,Disaster/Accident (Topic),2.0,1.0,Hybrid,0,0,not clean
29,Instagram Reels,NPR,Things are not looking good for amphibians.,11/1/23,8567,71,,steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),no (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,3.0,4.0,3.0,4.0,Environmental/Health (Topic),3.0,0.0,Hybrid,0,0,clean
30,Instagram Reels,NPR,Foreign nationals gathered at Gaza's border crossing with Egypt on…,11/1/23,7056,1085,,steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),no (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,3.0,4.0,3.0,4.0,Environmental/Health (Topic),3.0,0.0,Hybrid,0,0,clean
31,Instagram Reels,NPR,Why marigolds on Día de los Muertos?,11/1/23,15943,80,,nan (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),5.0,4.0,4.0,4.0,5.0,West Bank Conflict (Topic),3.0,0.0,Hybrid,1,1,clean
32,Instagram Reels,NPR,Many hospitals in Israel are moving underground in case of a missile attack.⁠,11/1/23,6579,1833,,nan (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),5.0,4.0,4.0,4.0,5.0,West Bank Conflict (Topic),3.0,0.0,Hybrid,1,1,clean
33,Instagram Reels,NPR,Israelis are rallying for the release of all Palestinian prisoners in…,11/1/23,7767,857,,nan (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),5.0,4.0,4.0,4.0,5.0,West Bank Conflict (Topic),3.0,0.0,Hybrid,1,1,clean
34,Instagram Reels,NPR,An Israeli airstrike hit Maghazi refugee camp in central Gaza…,11/2/23,496472,1803,,nan (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),5.0,4.0,4.0,4.0,5.0,West Bank Conflict (Topic),3.0,0.0,Hybrid,1,1,clean
35,Instagram Reels,NPR,"The environmental justice movement got its start on the side of the highway in Warren County, N.C.",11/3/23,7538,261,,steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),no (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,4.0,3.0,5.0,5.0,Environmental/Health (Topic),3.0,0.0,Hybrid,0,0,clean
36,TikTok,NPR,Foreign nationals gathered at Gaza's border crossing with Egypt on…,11/1/23,470,24,22.0,steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),atrocities (Offensive),use (Sourcing),3.0,4.0,3.0,-93.0,-93.0,West Bank Conflict (Topic),2.0,1.0,Hybrid,0,0,clean
37,TikTok,NPR,Israelis are rallying for the release of all Palestinian prisoners in…,11/2/23,821,118,51.0,steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),lacks (Music),includes (Narration),no (Humor),atrocities (Offensive),use (Sourcing),2.0,4.0,2.0,3.0,4.0,West Bank Conflict (Topic),3.0,0.0,Hybrid,0,0,clean
38,TikTok,NPR,An Israeli airstrike hit Maghazi refugee camp in central Gaza…,11/2/23,572,44,46.0,steady (Shots),none (Graphics),0.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),atrocities (Offensive),use (Sourcing),2.0,3.0,3.0,-93.0,-93.0,West Bank Conflict (Topic),3.0,1.0,Hybrid,0,0,not clean
39,TikTok,NPR,Many hospitals in Israel are moving underground in case of a missile attack.⁠,11/2/23,612,220,29.0,steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),lacks (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),3.0,2.0,3.0,3.0,4.0,West Bank Conflict (Topic),3.0,0.0,Hybrid,0,0,clean
40,TikTok,NPR,An Israeli strike hit the Bureij refugee camp in central Gaza on Thursday…,11/3/23,862,177,55.0,not steady (Shots),animations (Graphics),0.0 (EditsStyle),yes (Broll),yes (NatSound),poor (Audio),lacks (Music),lacks (Narration),no (Humor),atrocities (Offensive),use (Sourcing),2.0,4.0,3.0,-93.0,-93.0,West Bank Conflict (Topic),3.0,1.0,Hybrid,1,1,not clean
41,TikTok,NPR,"At Ben Gurion Airport in Tel Aviv, new photographs highlight the…",11/6/23,2085,552,65.0,not steady (Shots),none (Graphics),0.0 (EditsStyle),yes (Broll),yes (NatSound),poor (Audio),lacks (Music),lacks (Narration),no (Humor),atrocities (Offensive),use (Sourcing),2.0,4.0,3.0,-93.0,-93.0,West Bank Conflict (Topic),3.0,1.0,Hybrid,0,0,not clean
42,TikTok,NPR,Nearly a quarter of Americans support political violence heading into the 2024 presidential election,11/6/24,4826,419,215.0,steady (Shots),both (Graphics),1.0 (EditsStyle),no (Broll),no (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),5.0,2.0,5.0,4.0,3.0,Political (Topic),3.0,0.0,Hybrid,0,0,clean
43,YouTube Shorts,Tampa Bay Times,Why do we need coral reefs? Here’s why they are so important. - YouTube,8/6/23,12,1,,steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,4.0,4.0,3.0,5.0,Environmental/Health (Topic),3.0,0.0,Legacy,0,0,clean
44,YouTube Shorts,Tampa Bay Times,Tampa Bay family competes for $1 million ‘American Ninja Warrior’ prize,8/12/23,62,2,,steady (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),yes (NatSound),good (Audio),includes (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),3.0,4.0,3.0,3.0,-93.0,Entertainment/Pop Culture (Topic),3.0,0.0,Legacy,1,1,clean
45,YouTube Shorts,Tampa Bay Times,Why Florida scientists have a hint of hope amid the coral bleaching crisis,8/21/23,27,2,,not steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),no (NatSound),good (Audio),lacks (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,4.0,4.0,-93.0,4.0,Environmental/Health (Topic),2.0,0.0,Legacy,0,0,clean
46,YouTube Shorts,Tampa Bay Times,Tampa Bay prepares for Tropical Storm Idalia ,8/28/23,172,8,,steady (Shots),animations (Graphics),0.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),5.0,5.0,5.0,2.0,4.0,Environmental/Health (Topic),3.0,0.0,Legacy,1,1,not clean
47,YouTube Shorts,Tampa Bay Times,What does a king tide in Tampa Bay mean for Idalia’s storm surge?,8/29/23,104,4,,not steady (Shots),animations (Graphics),0.0 (EditsStyle),yes (Broll),yes (NatSound),poor (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,3.0,4.0,-93.0,4.0,Environmental/Health (Topic),3.0,1.0,Legacy,1,1,not clean
48,YouTube Shorts,Tampa Bay Times,Tarpon Springs Epiphany cross is retrieved under blue skies,1/6/24,14,4,,steady (Shots),animations (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),5.0,1.0,5.0,-93.0,4.0,Entertainment/Pop Culture (Topic),3.0,1.0,Legacy,1,1,clean
49,YouTube Shorts,Tampa Bay Times,"The cross goes to John Hittos, 16, at Epiphany dive in Tarpon Springs",1/6/24,20,1,,steady (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),yes (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,4.0,4.0,3.0,Entertainment/Pop Culture (Topic),2.0,0.0,Legacy,1,1,clean
50,Instagram Reels,Tampa Bay Times,"A large, colorful tent is set up in the parking lot of St. Petersburg’s…",11/3/23,1024,16,,steady (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),yes (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,4.0,4.0,3.0,Entertainment/Pop Culture (Topic),2.0,0.0,Legacy,1,1,clean
51,Instagram Reels,Tampa Bay Times,Tampa International Airport is aiming to make electric air taxis a possibility.⁠..,11/6/23,689,22,,steady (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),yes (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,4.0,4.0,3.0,Entertainment/Pop Culture (Topic),2.0,0.0,Legacy,1,1,clean
52,Instagram Reels,Tampa Bay Times,"Lying in bed at Tampa General Hospital, Gavin Benyon’s left arm…",11/12/23,1069,11,,steady (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),yes (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,4.0,4.0,3.0,Entertainment/Pop Culture (Topic),2.0,0.0,Legacy,1,1,clean
53,Instagram Reels,Tampa Bay Times,"Meet War Feather, a retired racehorse born in Florida horse country.⁠..",11/18/23,244,8,,steady (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),yes (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,4.0,4.0,3.0,Entertainment/Pop Culture (Topic),2.0,0.0,Legacy,1,1,clean
54,Instagram Reels,Tampa Bay Times,California Gov. Gavin Newsom and Florida Gov. Ron DeSantis are facing off...,11/30/23,255,32,,steady (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),no (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),3.0,2.0,4.0,5.0,5.0,Political (Topic),1.0,0.0,Legacy,1,1,clean
55,Instagram Reels,Tampa Bay Times,A car accident at age 21 stole Barbara Walker’s sense of smell…,12/2/23,118,3,,steady (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),no (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),3.0,2.0,4.0,5.0,5.0,Political (Topic),1.0,0.0,Legacy,1,1,clean
56,Instagram Reels,Tampa Bay Times,A Tampa Bay Times investigation found that more than 580 people in Florida have died from kratom,12/12/23,560,92,,steady (Shots),both (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,4.0,4.0,5.0,5.0,Disaster/Accident (Topic),2.0,0.0,Legacy,0,0,clean
57,TikTok,Tampa Bay Times,A man was rescued after a small plane crashed into the #FloridaEverglades in…,11/1/23,289,12,10.0,steady (Shots),animations (Graphics),0.0 (EditsStyle),yes (Broll),yes (NatSound),poor (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,5.0,-93.0,-93.0,Disaster/Accident (Topic),3.0,1.0,Legacy,1,1,not clean
58,TikTok,Tampa Bay Times,"A crew of about 15 workers were perched on top of the colorful, football…",11/2/23,53,0,2.0,steady (Shots),animations (Graphics),1.0 (EditsStyle),yes (Broll),no (NatSound),good (Audio),includes (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),5.0,4.0,4.0,-93.0,-93.0,Entertainment/Pop Culture (Topic),3.0,0.0,Legacy,1,1,clean
59,TikTok,Tampa Bay Times,#TampaInternationalAirport is aiming to make electric #airtaxis a possibility…,11/3/23,65,2,3.0,not steady (Shots),animations (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),poor (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),3.0,3.0,3.0,-93.0,4.0,Technology/AI (Topic),3.0,0.0,Legacy,1,1,clean
60,TikTok,Tampa Bay Times,#Florida’s #coral is being returned the sea after being rescued from scorching…,11/3/23,35,0,2.0,steady (Shots),animations (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),yes (Humor),not offensive (Offensive),use (Sourcing),4.0,4.0,4.0,3.0,3.0,Environmental/Health (Topic),3.0,0.0,Legacy,1,1,clean
61,TikTok,Tampa Bay Times,A new partnership between @The Florida Aquarium and @Tampa General Hospital…,11/6/23,176,5,3.0,steady (Shots),animations (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),lacks (Narration),no (Humor),not offensive (Offensive),not use (Sourcing),4.0,3.0,4.0,4.0,4.0,Technology/AI (Topic),2.0,0.0,Legacy,1,1,clean
62,TikTok,Tampa Bay Times,"Meet Wyatt, a retired #racehorse. He was fierce and skittish and didn’t trust people",11/9/23,327,10,9.0,steady (Shots),animations (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,4.0,4.0,4.0,Environmental/Health (Topic),2.0,0.0,Legacy,1,1,clean
63,TikTok,Tampa Bay Times,A car accident at age 21 stole Barbara Walker’s sense of smell,12/5/23,28,4,0.0,not steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,1.0,4.0,3.0,4.0,Environmental/Health (Topic),2.0,0.0,Legacy,0,0,clean
64,YouTube Shorts,CNN,Indicted senator attends classified briefing,11/1/23,1700,194,,not steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,1.0,4.0,3.0,4.0,Environmental/Health (Topic),2.0,0.0,Legacy,0,0,clean
65,YouTube Shorts,CNN,Israel official defends strike on refugee camp,11/1/23,5600,2200,,not steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,1.0,4.0,3.0,4.0,Environmental/Health (Topic),2.0,0.0,Legacy,0,0,clean
66,YouTube Shorts,CNN,Trump Jr. pivots blame in testimony ,11/1/23,12000,1600,,not steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,1.0,4.0,3.0,4.0,Environmental/Health (Topic),2.0,0.0,Legacy,0,0,clean
67,YouTube Shorts,CNN,Hall of fame coach Bob Knight dies at 83,11/1/23,1000,57,,not steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,1.0,4.0,3.0,4.0,Environmental/Health (Topic),2.0,0.0,Legacy,0,0,clean
68,YouTube Shorts,CNN,Rabbi confronts President Biden,11/2/23,2900,716,,steady (Shots),animations (Graphics),0.0 (EditsStyle),no (Broll),no (NatSound),good (Audio),lacks (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),3.0,3.0,3.0,5.0,5.0,West Bank Conflict (Topic),1.0,0.0,Legacy,1,1,not clean
69,YouTube Shorts,CNN,Explosions erupt over Gaza,11/2/23,3000,571,,not steady (Shots),animations (Graphics),0.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),lacks (Music),includes (Narration),no (Humor),atrocities (Offensive),use (Sourcing),2.0,2.0,3.0,-93.0,5.0,West Bank Conflict (Topic),2.0,1.0,Legacy,1,1,not clean
70,YouTube Shorts,CNN,Tense exchanges shared during Eric Trump’s testimony - YouTube,11/2/23,18000,1800,,steady (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),yes (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),3.0,2.0,4.0,5.0,5.0,Political (Topic),1.0,1.0,Legacy,1,1,clean
